epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,124.475,2.44326,8.13089,2.58477,0.56885,0.06667,0.07642,0.0292,2.43339,4.99748,2.60963,1.25e-05,1.25e-05,1.25e-05
2,289.417,2.58398,7.1232,2.53094,0.64736,0.06667,0.08528,0.03278,2.44151,4.77793,2.56794,3.37875e-05,3.37875e-05,3.37875e-05
3,406.646,2.06475,5.27087,2.30873,0.98486,0.06667,0.11917,0.05324,2.19885,4.77675,2.45807,5.0125e-05,5.0125e-05,5.0125e-05
4,516.776,2.04626,4.1759,2.32838,0.75237,0.18095,0.23773,0.06448,2.07225,5.35812,2.35636,6.15125e-05,6.15125e-05,6.15125e-05
5,628.883,2.06888,3.90863,2.2648,0.54647,0.27619,0.18807,0.07615,2.16,5.92853,2.33442,6.795e-05,6.795e-05,6.795e-05
6,739.935,1.93335,3.52698,2.04499,0.62892,0.24013,0.21297,0.08955,2.00953,6.35418,2.21428,6.94375e-05,6.94375e-05,6.94375e-05
7,843.393,1.80122,3.20443,2.02103,0.5876,0.34396,0.25152,0.09287,2.04906,6.13682,2.26073,6.5975e-05,6.5975e-05,6.5975e-05
8,942.953,1.84567,3.62957,2.13305,0.8426,0.22857,0.24763,0.12502,1.97023,5.47542,2.19107,5.75625e-05,5.75625e-05,5.75625e-05
9,1043.41,1.63037,2.96451,1.88229,0.82723,0.22857,0.26389,0.11553,1.97222,5.0468,2.19089,4.42e-05,4.42e-05,4.42e-05
10,1149.91,1.75638,2.89749,1.981,0.79446,0.22857,0.28067,0.12026,1.91827,4.74643,2.15491,2.58875e-05,2.58875e-05,2.58875e-05
