epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.0663,2.55802,6.52203,2.68498,0.4775,0.06667,0.04033,0.01822,2.52194,5.10851,2.61345,0,0,0
2,41.2678,2.59963,7.76993,2.62898,0.58061,0.06667,0.07799,0.03616,2.36949,4.91644,2.57061,1.12625e-05,1.12625e-05,1.12625e-05
3,62.7091,2.49065,6.05251,2.30158,0.6422,0.06667,0.08507,0.03851,2.22282,4.66543,2.51207,2.005e-05,2.005e-05,2.005e-05
4,83.4598,2.73373,5.98819,2.77152,0.98352,0.06667,0.10854,0.04336,2.26554,4.62929,2.53384,2.63625e-05,2.63625e-05,2.63625e-05
5,106.462,2.05932,4.66211,2.2311,0.98454,0.06667,0.12205,0.0514,2.21784,4.75317,2.50607,3.02e-05,3.02e-05,3.02e-05
6,129.689,2.23567,4.09911,2.39978,0.98296,0.06667,0.11973,0.05687,2.14798,4.61065,2.46823,3.15625e-05,3.15625e-05,3.15625e-05
7,150.645,2.17527,4.44183,2.31859,0.51222,0.2,0.20977,0.08919,2.13937,4.63283,2.4736,3.045e-05,3.045e-05,3.045e-05
8,173.1,1.71186,3.90433,2.01958,0.41804,0.13664,0.15849,0.08142,2.12318,4.71015,2.41727,2.68625e-05,2.68625e-05,2.68625e-05
9,193.927,1.9987,3.85874,2.17136,0.56252,0.22892,0.15978,0.07864,2.08557,4.78575,2.34233,2.08e-05,2.08e-05,2.08e-05
10,216.534,1.66037,3.68942,1.98057,0.54641,0.16898,0.1653,0.0822,2.07322,4.79086,2.31444,1.22625e-05,1.22625e-05,1.22625e-05
