epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.4086,1.35819,18.038,1.42033,0.47792,0.06667,0.04004,0.01523,2.47921,5.15479,2.62528,1.25e-05,1.25e-05,1.25e-05
2,56.5353,2.80094,6.34819,2.59066,0.63591,0.06667,0.08456,0.03801,2.52459,4.78418,2.63855,3.37875e-05,3.37875e-05,3.37875e-05
3,82.1645,2.72472,4.78234,3.06947,0.64628,0.06667,0.11335,0.05556,2.31243,4.86704,2.64233,5.0125e-05,5.0125e-05,5.0125e-05
4,108.228,2.19365,4.0041,2.224,0.66667,0.12411,0.20166,0.0793,2.01495,5.10458,2.45377,6.15125e-05,6.15125e-05,6.15125e-05
5,134.446,1.88668,4.20679,2.21457,0.80731,0.2749,0.28755,0.11811,1.88898,5.32394,2.35181,6.795e-05,6.795e-05,6.795e-05
6,161.089,1.6676,3.14277,2.14565,0.8565,0.2706,0.34878,0.16171,1.90989,5.45346,2.26668,6.94375e-05,6.94375e-05,6.94375e-05
7,188.773,1.97881,4.60111,2.12387,0.71742,0.39953,0.38385,0.16487,1.92747,5.21878,2.20673,6.5975e-05,6.5975e-05,6.5975e-05
8,215.035,1.71953,3.58893,1.64507,0.61719,0.47093,0.33933,0.17381,1.83589,5.02192,2.13437,5.75625e-05,5.75625e-05,5.75625e-05
9,241.666,1.86437,3.45571,2.25835,0.61286,0.48509,0.34237,0.17654,1.79702,4.79228,2.11132,4.42e-05,4.42e-05,4.42e-05
10,270.765,1.90335,3.25208,1.97906,0.59162,0.47619,0.33861,0.16754,1.81461,4.42016,2.1328,2.58875e-05,2.58875e-05,2.58875e-05
