epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.9611,2.55802,6.52203,2.68498,0.4775,0.06667,0.04033,0.01822,2.52194,5.10851,2.61345,0,0,0
2,49.8754,2.59963,7.76993,2.62898,0.58061,0.06667,0.07799,0.03616,2.36949,4.91644,2.57061,1.12625e-05,1.12625e-05,1.12625e-05
3,76.0211,2.49065,6.05251,2.30158,0.6422,0.06667,0.08507,0.03851,2.22282,4.66543,2.51207,2.005e-05,2.005e-05,2.005e-05
4,97.1067,2.73373,5.98819,2.77152,0.98352,0.06667,0.10854,0.04336,2.26554,4.62929,2.53384,2.63625e-05,2.63625e-05,2.63625e-05
