epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.5951,2.3273,6.71163,2.5537,0.61043,0.06667,0.07751,0.0365,2.42968,5.01464,2.60738,1.25e-05,1.25e-05,1.25e-05
2,74.8404,2.65033,6.41801,2.76563,0.98438,0.06667,0.10982,0.04279,2.25118,4.79756,2.51101,3.37875e-05,3.37875e-05,3.37875e-05
3,108.313,2.53056,5.14689,2.63227,0.55209,0.12917,0.17844,0.1068,2.09216,4.84252,2.51857,5.0125e-05,5.0125e-05,5.0125e-05
4,140.641,2.15375,4.16631,2.35551,0.61905,0.29465,0.20393,0.09216,2.12461,5.06389,2.39432,6.15125e-05,6.15125e-05,6.15125e-05
5,172.961,1.99397,3.57673,2.18243,0.73315,0.25735,0.26634,0.10958,2.10226,5.58894,2.34158,6.795e-05,6.795e-05,6.795e-05
6,203.938,1.77596,3.44875,2.04749,0.78977,0.29524,0.34184,0.17488,1.86627,5.3884,2.22845,6.94375e-05,6.94375e-05,6.94375e-05
7,234.897,1.76592,3.26814,2.11783,0.87258,0.33483,0.39171,0.25029,1.68429,5.42928,2.17653,6.5975e-05,6.5975e-05,6.5975e-05
8,265.579,1.45796,2.69516,1.91608,0.87582,0.34164,0.42268,0.24723,1.65237,4.86542,2.10695,5.75625e-05,5.75625e-05,5.75625e-05
9,298.16,1.50958,2.54614,1.92026,0.86604,0.42286,0.41505,0.2419,1.65924,4.61407,2.08135,4.42e-05,4.42e-05,4.42e-05
10,329.348,1.56563,2.62768,1.81667,0.92736,0.3509,0.43119,0.22921,1.66001,4.32307,2.09492,2.58875e-05,2.58875e-05,2.58875e-05
