epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.2077,2.65548,5.9469,2.60714,0.47827,0.06667,0.04034,0.01828,2.49252,5.1495,2.59146,0,0,0
2,42.0147,2.86261,6.73731,2.78304,0.54871,0.06667,0.07589,0.03554,2.53143,4.99709,2.64397,1.12625e-05,1.12625e-05,1.12625e-05
3,59.4819,2.29132,5.97631,2.47222,0.62276,0.06667,0.0847,0.03712,2.4207,4.73395,2.58165,2.005e-05,2.005e-05,2.005e-05
4,80.442,2.44643,5.09003,2.50236,0.63965,0.06667,0.09114,0.04183,2.36768,4.73667,2.54205,2.63625e-05,2.63625e-05,2.63625e-05
5,102.402,2.27249,4.76397,2.30428,0.97816,0.06667,0.10398,0.05965,2.32439,4.60277,2.53039,3.02e-05,3.02e-05,3.02e-05
6,124.899,2.14188,4.19498,2.29801,0.97761,0.06667,0.11868,0.06432,2.26597,4.74692,2.51339,3.15625e-05,3.15625e-05,3.15625e-05
7,148.813,2.16012,4.41277,2.48191,0.42914,0.2,0.14419,0.0789,2.21295,4.73275,2.50119,3.045e-05,3.045e-05,3.045e-05
8,168.665,1.96475,3.86631,2.2446,0.48483,0.22202,0.16547,0.08674,2.11842,4.75613,2.50657,2.68625e-05,2.68625e-05,2.68625e-05
9,190.146,2.0146,3.65315,2.39401,0.59826,0.24762,0.18791,0.09152,2.05091,4.83407,2.49234,2.08e-05,2.08e-05,2.08e-05
10,210.455,1.97263,3.69457,2.15376,0.56943,0.23152,0.19078,0.09538,2.05454,4.86957,2.50907,1.22625e-05,1.22625e-05,1.22625e-05
