epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.0141,2.58016,7.68497,2.50659,0.50128,0.06667,0.07406,0.02903,2.46224,5.07058,2.61124,1.25e-05,1.25e-05,1.25e-05
2,58.1564,2.7009,6.38299,2.84842,0.62104,0.06667,0.08033,0.03761,2.29961,4.88498,2.50539,3.37875e-05,3.37875e-05,3.37875e-05
3,90.0985,2.5912,4.94316,2.77912,0.42651,0.13333,0.16466,0.06117,2.10968,4.67182,2.43259,5.0125e-05,5.0125e-05,5.0125e-05
4,119.683,1.92653,4.37338,2.52049,0.6049,0.18056,0.25219,0.07446,2.18948,5.22467,2.424,6.15125e-05,6.15125e-05,6.15125e-05
5,151.059,1.94638,4.06404,2.10623,0.74836,0.27916,0.34391,0.1179,2.12007,5.71782,2.25799,6.795e-05,6.795e-05,6.795e-05
6,182.219,1.62175,3.52191,2.09014,0.69347,0.33313,0.30936,0.12622,1.98441,5.96224,2.17366,6.94375e-05,6.94375e-05,6.94375e-05
7,213.292,1.76834,3.37582,2.10424,0.55392,0.27619,0.25817,0.1356,1.82416,5.5643,2.11411,6.5975e-05,6.5975e-05,6.5975e-05
8,246.06,1.41576,2.89248,2.01803,0.6157,0.29547,0.3075,0.16688,1.84795,5.09731,2.07935,5.75625e-05,5.75625e-05,5.75625e-05
9,280.557,1.26318,2.74839,1.86767,0.69726,0.27619,0.30585,0.16993,1.8617,4.74686,2.1041,4.42e-05,4.42e-05,4.42e-05
10,313.784,1.6444,2.83177,1.99715,0.72275,0.32514,0.33086,0.17942,1.87371,4.35772,2.09655,2.58875e-05,2.58875e-05,2.58875e-05
