epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,138.263,2.40915,8.37521,2.76933,0.54634,0.06667,0.07697,0.03544,2.42674,4.9389,2.57196,1.25e-05,1.25e-05,1.25e-05
2,192.06,2.43101,6.26176,2.66502,0.97922,0.06667,0.09795,0.04596,2.17455,4.71145,2.4007,3.37875e-05,3.37875e-05,3.37875e-05
3,242.021,2.51129,5.56247,2.63426,0.43298,0.26667,0.16443,0.06044,2.08434,4.72762,2.45834,5.0125e-05,5.0125e-05,5.0125e-05
4,291.181,1.69784,3.88377,2.10327,0.76021,0.23887,0.26447,0.11726,2.26863,4.923,2.56953,6.15125e-05,6.15125e-05,6.15125e-05
5,338.245,1.76036,3.36646,2.21594,0.74928,0.29524,0.30742,0.16377,2.14263,5.57889,2.57095,6.795e-05,6.795e-05,6.795e-05
6,385.938,1.70442,3.63932,2.12262,0.7623,0.29524,0.33205,0.18243,2.03897,5.85269,2.49336,6.94375e-05,6.94375e-05,6.94375e-05
7,432.246,1.84861,3.49361,2.07364,0.81999,0.32706,0.38646,0.19951,1.8788,5.56439,2.38049,6.5975e-05,6.5975e-05,6.5975e-05
8,482.858,1.4306,3.66067,1.71758,0.60377,0.40952,0.35564,0.19438,1.75632,5.1683,2.27314,5.75625e-05,5.75625e-05,5.75625e-05
9,521.782,1.43767,2.88157,1.706,0.64411,0.39917,0.37713,0.21573,1.71577,4.93349,2.21907,4.42e-05,4.42e-05,4.42e-05
10,553.97,1.32387,2.86406,1.83563,0.70039,0.39124,0.39134,0.22477,1.64539,4.5318,2.15891,2.58875e-05,2.58875e-05,2.58875e-05
