epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.9012,2.58174,6.93208,2.70827,0.00127,0.25,0.03051,0.00381,2.71728,4.6527,2.64777,0,0,0
2,34.1676,2.73428,5.99013,2.82773,0.00267,0.25,0.04158,0.00641,2.67661,4.58886,2.61074,1.12625e-05,1.12625e-05,1.12625e-05
3,50.8709,2.33586,5.89536,2.51211,0.3618,0.16667,0.0485,0.00977,2.6422,4.44073,2.58336,2.005e-05,2.005e-05,2.005e-05
4,66.4071,2.47273,4.47885,2.89095,0.39794,0.08333,0.11413,0.01996,2.53394,4.22734,2.51915,2.63625e-05,2.63625e-05,2.63625e-05
5,81.1661,2.40923,4.55141,2.61528,0.81718,0.08333,0.12065,0.02291,2.38696,4.11828,2.42424,3.02e-05,3.02e-05,3.02e-05
6,95.1131,2.11844,3.8674,2.15833,0.82693,0.08333,0.12563,0.02941,2.35664,4.08559,2.39118,3.15625e-05,3.15625e-05,3.15625e-05
7,112.102,2.11534,3.67031,2.55039,0.93501,0.08333,0.14535,0.04883,2.27313,3.96423,2.38322,3.045e-05,3.045e-05,3.045e-05
8,127.603,2.18759,3.61284,2.36708,0.93428,0.08333,0.1753,0.067,2.21181,3.90948,2.37745,2.68625e-05,2.68625e-05,2.68625e-05
9,142.834,2.32065,3.32586,2.35008,0.53049,0.21667,0.21045,0.07697,2.11676,3.87026,2.33112,2.08e-05,2.08e-05,2.08e-05
10,160.944,2.0461,3.0575,2.33949,0.56343,0.21133,0.20785,0.08756,2.06499,3.81259,2.28747,1.22625e-05,1.22625e-05,1.22625e-05
